name,role,country,state,city,industries,sectors,stages,department,ministry,id,email,phone,image,description,budget,type,portfolios,contacts,badges
Nutroot,Accelerator,India,Delhi,South Delhi,IT Services,Application Development BPO IT Consulting IT Management KPO Others Product Development Project Management Testing Web Development,Scaling,,,64e5ecb7e4b0c3386c92ab81,XXXXXXX@gmail.com,0,c8540627-16ca-416e-8117-269fb5d8ec5c.png,"Our products come with a wide range of features like Order ManagementSolution, Sales Activities Management Solution, Distributor ManagementSolution, Stock Dispatch Management Solution, Retailer Management Solution,Attendance and Leave Management Solution, Expenses & Claims ManagementSolutions etc. We make it easy to use these features with simple interfacesand intuitive navigation. Quality customer service We value our customers andwant to help them in every way possible. This is why we provide live chatsupport, email support and toll-free phone number for any issue that mightarise during the order placement process.",,,,"[{'firstName': 'Bhanu ', 'lastName': 'Pratap', 'designation': 'MD', 'emailId': 'bhanupratapapex07@gmail.com', 'mobileNumber': '8178702799', 'landlineNumber': None, 'website': None, 'socialMediaAccountURL': None}]",[]
LowCarbon Earth,Accelerator,India,Haryana,Gurugram,Agriculture Green Technology Renewable Energy Textiles & Apparel Waste Management,Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Clean Tech Others Waste Management Manufacture of Electrical Equipment Manufacture of Machinery and Equipment Others Renewable Energy Solutions Renewable Nuclear Energy Renewable Solar Energy Renewable Wind Energy Apparel & Accessories Leather Footwear Leather Textiles Goods Non- Leather Footwear Non- Leather Textiles Goods Others Others,Prototype Validation EarlyTraction Scaling,,,64be719fe4b0c4486e880d35,XXXXXXX@gmail.com,0,d68ccdbb-48c4-4595-b7b4-2d44ccea744f.png,"Low Carbon Earth Accelerator Program, brought to you by United NationsEnvironment Program & Massive Earth Foundation is inviting applications frompassionate founders catalysing climate action, for a twelve-week mentorshipdriven program open to startups based in Asia Pacific.Low Carbon Earthconnects high-potential sustainability startups with resources and mentorshipneeded to craft an impactful value proposition, build traction, connect withinvestors, and tap into funding opportunities.Applications are invited frompassionate founders driving climate action in areas such as:1. Agriculture2.Renewable Energy3. Microplastics4. Textiles5. CoolingStartups with innovativesolutions addressing climate challenges beyond the listed areas are encourageto apply.Applications from women and minority founders are highly encouraged.",,,,"[{'firstName': 'Samriddhi', 'lastName': 'Bharadwaj', 'designation': 'Community Manager', 'emailId': 'samriddhi@gomassive.org', 'mobileNumber': '7599861294', 'landlineNumber': None, 'website': 'https://lowcarbon.earth', 'socialMediaAccountURL': None}]",[]
Gruhas ASPIRE,Accelerator,India,Telangana,Hyderabad,Architecture Interior Design Construction Renewable Energy Real Estate Waste Management,Others Construction & Engineering Construction Materials Construction Supplies & Fixtures Homebuilding New-age Construction Technologies Others Manufacture of Electrical Equipment Manufacture of Machinery and Equipment Others Renewable Energy Solutions Renewable Nuclear Energy Renewable Solar Energy Renewable Wind Energy Coworking Spaces Housing Others Others,Validation EarlyTraction Scaling,,,6466b2bce4b025c6714523a3,XXXXXXX@gmail.com,0,7dedc3d3-e511-41d1-88b2-7cfccc510c39.png,"Gruhas ASPIRE (Accelerating Sustainable Proptech in Real Estate) is a six-month scaling program for early-stage proptech startups who want to scale inIndia.  The program focuses on enhancing productivity and sustainability in theconstruction and real estate sector, and will enable scale for the cohortstartups through targetted support on product development, go-to-market,branding and marketing focus, sales and distribution partnerships, marketaccess connects, and may even make investments in cohort leaders.  The Gruhas ASPIRE Program is managed by the Gruhas Fund (led by Nikhil Kamathand Abhijeet Pai), the DLF Family Office (led by Rahul Talwar) and AnthillVentures (led by Sailesh Sigatapu).",,,,"[{'firstName': 'Prapti', 'lastName': 'Patel', 'designation': 'Program Lead', 'emailId': 'prapti@anthillventures.com', 'mobileNumber': '9820506239', 'landlineNumber': None, 'website': None, 'socialMediaAccountURL': None}]",[]
Finnovate Accelerator,Accelerator,India,Maharashtra,Mumbai,Finance Technology,Accounting Advisory Billing and Invoicing Bitcoin and Blockchain Business Finance Crowdfunding Foreign Exchange Insurance Microfinance Mobile wallets  Payments Others P2P Lending Payment Platforms Personal Finance Point of Sales Trading,EarlyTraction Scaling,,,643fbe6fe4b0077493999eeb,XXXXXXX@gmail.com,0,,"CFIâ€™s SPJIMR FinNovate Accelerator is a unique start-up accelerator that aimsto bring together the best start-ups, experienced mentors, and largecorporates in the BFSI space for an exclusive acceleration programme. Byfacilitating collaboration and mentorship, the accelerator aims to fosterinnovation and growth among start-ups, while also building partnerships withangel networks, banks, insurance companies, and asset management firms.Through this programme, CFI aims to provide a platform for start-ups to thriveand make a positive impact on the BFSI industry.",,,,"[{'firstName': 'Manali ', 'lastName': 'Pathak', 'designation': 'Programme Manager', 'emailId': 'finnovate@spjimr.org', 'mobileNumber': '9022201101', 'landlineNumber': None, 'website': None, 'socialMediaAccountURL': None}]",[]
IIT Ropar Technology Innovation Foundation,Accelerator,India,Punjab,Rupnagar,Agriculture Food & Beverages Technology Hardware Healthcare & Lifesciences Others,Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Food Processing Food Technology/Food Delivery Microbrewery Others Restaurants 3d printing Electronics Embedded Manufacturing Others Semiconductor Assistance Technology Biotechnology Health & Wellness Healthcare IT Healthcare Services Healthcare Technology Medical Devices Biomedical Others Pharmaceutical Others,Prototype Validation EarlyTraction Scaling,,,643f9d80e4b0077493997381,XXXXXXX@gmail.com,0,c278f08b-b1c5-457e-b52a-5f6ca426d868.jpg,"IIT Ropar â€“ Technology and Innovation Foundation (TIF) is a Section â€“ 8company founded to support the initiatives of Technology Innovation Hub â€“AWaDH (Agriculture and Water Technology Development Hub) at the IndianInstitute of Technology Ropar in the framework of National Mission onInterdisciplinary Cyber-Physical Systems (NM â€“ ICPS) by the Department ofScience and Technology, Government of India.  ",,,,"[{'firstName': 'Mukesh ', 'lastName': 'Kestwal', 'designation': 'CIO', 'emailId': 'people@ihub-awadh.in', 'mobileNumber': '7895830716', 'landlineNumber': None, 'website': 'https://ihub-awadh.in', 'socialMediaAccountURL': None}]",[]
IIT Ropar Technology and Innovation Foundation ,Accelerator,India,Punjab,Rupnagar,Agriculture AI Food & Beverages Internet of Things Social Impact Waste Management,Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Machine Learning NLP Others Food Processing Food Technology/Food Delivery Microbrewery Others Restaurants Manufacturing & Warehouse Others Smart Home Wearables Corporate Social Responsibility NGO Others Others,Prototype Validation EarlyTraction Scaling,,,6437e798e4b0ce1b91dc33b6,XXXXXXX@gmail.com,0,f3a742ce-736f-4e1a-9ade-6add1de992d7.png,"IIT Ropar â€“ Technology and Innovation Foundation (TIF) is a Section â€“ 8company founded to support the initiatives of Technology Innovation Hub â€“AWaDH (Agriculture and Water Technology Development Hub) at the IndianInstitute of Technology Ropar in the framework of National Mission onInterdisciplinary Cyber-Physical Systems (NM â€“ ICPS) by the Department ofScience and Technology, Government of India.  The TIF supports the R&D in the domain of Agriculture, Water, IOT and ICPSstartups and innovations, and provides incubation/acceleration support totechnology-based start-ups towards sustainable agriculture and the environment",,,,"[{'firstName': 'Mukesh Chandra', 'lastName': 'Kestwal', 'designation': 'CIO', 'emailId': 'awadh@iitrpr.ac.in', 'mobileNumber': '7895830716', 'landlineNumber': '01881232601', 'website': 'https://ihub-awadh.in/', 'socialMediaAccountURL': None}]",[]
YFounder Lab,Accelerator,India,West Bengal,Darjeeling,Food & Beverages Retail Social Impact,Food Processing Food Technology/Food Delivery Microbrewery Others Restaurants Comparison Shopping Others Retail Technology Social Commerce Corporate Social Responsibility NGO Others,Validation EarlyTraction Scaling,,,64005a4ce4b05275a6ad298a,XXXXXXX@gmail.com,0,2dedacb2-3283-4829-85c7-ad4c6e256793.png,"YFounder Lab is a Non-Profit Venture Builder that co-founds businesses frominception. We work with mission aligned entrepreneurs working on new ideas,technologies or business models and work towards building high growthcompanies.    We operate sector-focused fellowship program and Venture Funds for Pre-Ideation, Pre-Seed and Seed stage startups, investing in talented and diversefounding teams across industries in India - with a current focus on FinTech,Health, Climate, Media, Telecom, Consumer and Web3.  Process:1\. Apply to YFounder Fellowship.2\. Weekly check ins to ideate with our core team3\. We help you vet co-founding members or early stage hires4\. Build an MVP within weeks; not months.  About OrganisationYFounder Forum- Sevoke Road Siliguri  Section 8 Company  CIN : U80302WB2022NPL259410  Registered at NITI Aayog  ",,,(Idhiyaan Handicrafts - URL: https://www.instagram.com/idhiyaan/) | ,"[{'firstName': 'Nikhil', 'lastName': 'Agarwal', 'designation': 'Founder and Director', 'emailId': 'apply@yfounder.org', 'mobileNumber': '9741690920', 'landlineNumber': None, 'website': 'https://www.yfounder.org', 'socialMediaAccountURL': None}]",[]
AIC Sangam Innovation Foundation,Accelerator,India,Haryana,Gurugram,Agriculture Green Technology Renewable Energy Social Impact Biotechnology Waste Management,Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Clean Tech Others Waste Management Manufacture of Electrical Equipment Manufacture of Machinery and Equipment Others Renewable Energy Solutions Renewable Nuclear Energy Renewable Solar Energy Renewable Wind Energy Others Others Others,Validation EarlyTraction Scaling,,,63f727c0e4b0752eedfffada,XXXXXXX@gmail.com,0,,"AIC-Sangam is set up as a platform to bring together the best minds, resourcesand capital solving sustainability problems, and serve as a launch pad forinclusive and scalable enterprises focused on improving access to energy andresource productivity for the underserved in India, that will lead the way indriving inclusive development and creation of communities that are resilientto climate change.",,,,"[{'firstName': 'Shikhita ', 'lastName': 'Gupta', 'designation': 'Program Executive', 'emailId': 'shikhita@aic-sangam.org', 'mobileNumber': '8826191751', 'landlineNumber': None, 'website': None, 'socialMediaAccountURL': None}]",[]
Catalyst for Women Entrepreneurship,Accelerator,India,Karnataka,Bengaluru,Social Impact Others,NGO Others,Validation EarlyTraction Scaling,,,63f716e8e4b0752eedfff5c7,XXXXXXX@gmail.com,0,4cf55d76-9967-45ef-9c3b-4164e86bf375.png,"Create a nurturing space for women entrepreneurs irrespective of Industry orscale, where they find:Peer SupportLearning & Business SkillsConnects to Finance, Markets, NetworksMentoringCreate and showcase 100 role models who inspire 50,000 women entrepreneurs. Wehave a comprehensive platform to enable women entrepreneurs to scale theirbusinessesOther organizations offer some elements of what we cover with our online andoffline platform. No organization currently offers CWEâ€™s range of products andservices across India.We know women, our target customers, wellWeâ€™re successful women entrepreneurs ourselves. We know the challenges ofbeing female entrepreneurs; weâ€™ve worked in the Indian ecosystem. Weâ€™velaunched and run corporate initiatives, also mentored women to becomeentrepreneurs. Weâ€™re excited doing all of this and more on a much largerscale.Our team brings depth of experience and skillsWe have 100+ years experience with sales/marketing, finance, entrepreneurship,teams. We work with profit and non-profit entrepreneurs. We partner withlocal, state, national governments, and international institutions.The numbers make sense We know thereâ€™s an opportunity to create a robust ecosystem for women andenable a significant growth in the local and national economy.",,,(Cradlewise - URL: https://cradlewise.com/) | (Umbr Tree - URL: https://www.umbrtree.com/) | (Devmantra Financial Services - URL: https://devmantra.com/) | (Hunger jugaad foods LLP - URL: https://frugease.com/) | (Bloom value corporation - URL: https://bloomvalue.com/) | (Her-mony - URL: https://www.her-mony.com/) | (Carewel Facilities - URL: http://www.carewelindia.com/index.php) | (Beelicious Honey - URL: https://www.beelicious.in/) | (Jivan Organics - URL: https://www.jivanorganics.com/) | (Maushumiâ€™s Wellness - URL: https://www.mrilq.com/) | (Azooka Life Sciences - URL: https://azooka.life/) | (Triphase Pharma - URL: http://www.triphasepharmasolutions.com/) | (Goavega Solutions - URL: https://www.goavega.com/) | (Axcend Technologies - URL: https://www.axcend.com/) | (Amanati - URL: https://www.amanati.events/) | (SuperSeva - URL: https://superseva.com/) | (RainKraft - URL: https://www.rainkraft.in/) | (Stratist Private Ltd. - URL: https://www.stratist.in/) | (Pink Lemonade - URL: https://www.pinklemonade.in/) | (Roll the Dice - URL: https://rollthedice.in/pages/about-us) | (Stepout Journals - URL: https://stepoutjournals.com/) | ,"[{'firstName': 'Prathiba', 'lastName': 'Das', 'designation': 'PoC', 'emailId': 'prathiba@cwe.org.in', 'mobileNumber': '9746248539', 'landlineNumber': None, 'website': 'http://cwe.org.in/', 'socialMediaAccountURL': None}]",[]
Qualcomm Design in India Challenge,Accelerator,India,Karnataka,Bengaluru Urban,AR VR (Augmented + Virtual Reality) Automotive Computer Vision Agriculture Aeronautics Aerospace & Defence AI Green Technology Finance Technology Technology Hardware Healthcare & Lifesciences Internet of Things Transportation & Storage Logistics Security Solutions Robotics Biotechnology Others,"Others Auto & Truck Manufacturers Auto, Truck & Motorcycle Parts Electric Vehicles Others Tires & Rubber Products Others Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Aviation & Others Defence Equipment Drones Others Space Technology Machine Learning NLP Others Clean Tech Others Waste Management Accounting Advisory Billing and Invoicing Bitcoin and Blockchain Business Finance Crowdfunding Foreign Exchange Insurance Microfinance Mobile wallets  Payments Others P2P Lending Payment Platforms Personal Finance Point of Sales Trading 3d printing Electronics Embedded Manufacturing Others Semiconductor Assistance Technology Biotechnology Health & Wellness Healthcare IT Healthcare Services Healthcare Technology Medical Devices Biomedical Others Pharmaceutical Manufacturing & Warehouse Others Smart Home Wearables Freight & Logistics Services Others Passenger Transportation Services Traffic Management Transport Infrastructure Others Cyber Security Home Security solutions Others Public Citizen Security Solutions Others Robotics Application Robotics Technology Others Others",Prototype Validation EarlyTraction Scaling,,,63f5d3b2e4b0752eedffbb13,XXXXXXX@gmail.com,0,657bd513-a1c1-4b93-be3c-b9fd32374e40.jpg,India's longest-running hardware incubation program encourages startups todevelop innovative hardware products using Qualcommâ€™s advanced technologies.,,,,"[{'firstName': 'Nivetha', 'lastName': 'Ramesh', 'designation': 'Senior Project Analy', 'emailId': 'nive.vedha20@gmail.com', 'mobileNumber': '9597861115', 'landlineNumber': None, 'website': 'https://www.qualcomm.com/company/locations/india/design-in-india-program/design-in-india-challenge', 'socialMediaAccountURL': None}]",[]
